"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2016","020120","Bovine cuts bone in, fresh or chilled","Import","15038","1346","Weight in kilograms","1346"
"Albania","2016","020130","Bovine cuts boneless, fresh or chilled","Import","35693","1984","Weight in kilograms","1984"
"Albania","2016","020230","Bovine cuts boneless, frozen","Import","1736315","993736","Weight in kilograms","993736"
"Albania","2016","020312","Swine hams, shoulders & cuts bone in, fresh or chille","Import","524562","182889","Weight in kilograms","182889"
"Albania","2016","020322","Hams, shoulders and cuts, of swine, bone in, frozen","Import","868505","484244","Weight in kilograms","484244"
"Albania","2016","020329","Swine cuts, frozen nes","Import","8383029","5113959","Weight in kilograms","5113959"
"Albania","2016","020610","Bovine edible offal, fresh or chilled","Export","255204","36796","Weight in kilograms","36796"
"Albania","2016","020622","Bovine livers, frozen","Import","24408","24609","Weight in kilograms","24609"
"Albania","2016","020629","Bovine edible offal, frozen except livers and tongues","Import","96538","86531","Weight in kilograms","86531"
"Albania","2016","020649","Swine edible offal, frozen except livers","Import","910185","1025024","Weight in kilograms","1025024"
"Albania","2016","020721","Fowls, domestic, whole, frozen","Import","3823702","2732150","Weight in kilograms","2732150"
"Albania","2016","020739","Poultry cuts & offal, except livers, fresh or chilled","Import","159143","161919","Weight in kilograms","161919"
"Albania","2016","020739","Poultry cuts & offal, except livers, fresh or chilled","Export","9181","3408","Weight in kilograms","3408"
"Albania","2016","020741","Fowl cuts & offal, domestic, except livers, frozen","Import","18165713","21263774","Weight in kilograms","21263774"
"Albania","2016","020742","Turkey cuts & offal, except livers, frozen","Import","63316","77089","Weight in kilograms","77089"
"Albania","2016","020810","Rabbit or hare meat, offal, fresh, chilled or frozen","Import","27214","7857","Weight in kilograms","7857"
"Albania","2016","020890","Meat and edible offal nes fresh, chilled or frozen","Export","807941","64052","Weight in kilograms","64052"
"Albania","2016","020900","Pig and poultry fat, unrendered","Import","634143","1023111","Weight in kilograms","1023111"
"Albania","2016","021011","Hams and shoulders, swine, salted, dried or smoked","Import","13437","1243","Weight in kilograms","1243"
"Albania","2016","021012","Bellies (streaky) of swine, salted, dried or smoked","Import","109387","17192","Weight in kilograms","17192"
"Albania","2016","021019","Swine meat, salted/dried/smoked not ham/shoulder/bell","Import","263300","38981","Weight in kilograms","38981"
"Albania","2016","021020","Bovine meat salted, dried or smoked","Import","30871","2668","Weight in kilograms","2668"
"Algeria","2016","020110","Bovine carcasses and half carcasses, fresh or chilled","Import","34372462","8028422","Weight in kilograms","8028422"
"Algeria","2016","020120","Bovine cuts bone in, fresh or chilled","Import","4826141","1096966","Weight in kilograms","1096966"
"Algeria","2016","020130","Bovine cuts boneless, fresh or chilled","Import","93837267","27082833","Weight in kilograms","27082833"
"Algeria","2016","020210","Bovine carcasses and half carcasses, frozen","Import","1807546","400705","Weight in kilograms","400705"
"Algeria","2016","020220","Bovine cuts bone in, frozen","Import","295346","107717","Weight in kilograms","107717"
"Algeria","2016","020230","Bovine cuts boneless, frozen","Import","79905345","26217936","Weight in kilograms","26217936"
"Algeria","2016","020410","Lamb carcasses and half carcasses, fresh or chilled","Import","6645671","1089781","Weight in kilograms","1089781"
"Algeria","2016","020421","Sheep carcasses and half carcasses, fresh or chilled","Import","4169028","688856","Weight in kilograms","688856"
"Algeria","2016","020422","Sheep cuts, bone in, fresh or chilled","Import","2001901","494757","Weight in kilograms","494757"
"Algeria","2016","020430","Lamb carcasses and half carcasses, frozen","Import","1459918","405261","Weight in kilograms","405261"
"Algeria","2016","020441","Sheep carcasses and half carcasses, frozen","Import","218109","66732","Weight in kilograms","66732"
"Algeria","2016","020442","Sheep cuts, bone in, frozen","Import","2355199","649695","Weight in kilograms","649695"
"Algeria","2016","020610","Bovine edible offal, fresh or chilled","Import","1183722","375873","Weight in kilograms","375873"
"Algeria","2016","020622","Bovine livers, frozen","Import","41726","12521","Weight in kilograms","12521"
"Algeria","2016","020680","Sheep, goat, ass, mule, hinnie offal, fresh or chille","Import","244720","65451","Weight in kilograms","65451"
"Algeria","2016","020710","Poultry, domestic, whole, fresh or chilled","Import","3018","900","Weight in kilograms","900"
"Algeria","2016","020721","Fowls, domestic, whole, frozen","Import","616","100","Weight in kilograms","100"
"Algeria","2016","020722","Turkeys, domestic, whole, frozen","Import","676","50","Weight in kilograms","50"
"Algeria","2016","020731","Fatty livers (geese,ducks) domestic fresh or chilled","Import","5829","100","Weight in kilograms","100"
"Algeria","2016","020741","Fowl cuts & offal, domestic, except livers, frozen","Export","44873","342000","Weight in kilograms","342000"
"Algeria","2016","020743","Duck, goose, guinea fowl cuts, offal not liver, froze","Import","2740","120","Weight in kilograms","120"
"Algeria","2016","020743","Duck, goose, guinea fowl cuts, offal not liver, froze","Export","64634","648000","Weight in kilograms","648000"
"Algeria","2016","021011","Hams and shoulders, swine, salted, dried or smoked","Import","3400","364","Weight in kilograms","364"
"Algeria","2016","021012","Bellies (streaky) of swine, salted, dried or smoked","Import","383","84","Weight in kilograms","84"
"Algeria","2016","021019","Swine meat, salted/dried/smoked not ham/shoulder/bell","Import","1820","167","Weight in kilograms","167"
"Algeria","2016","021020","Bovine meat salted, dried or smoked","Import","1061","80","Weight in kilograms","80"
"Algeria","2016","021090","Meat and edible meat offal cured, flours, meals nes","Import","725","10","Weight in kilograms","10"

